Location,Cultivar,ID,Rep,Num_Germ,Total_Num,Dry_Weight
CFAR,Gardensoy_32,2,1,25,25,6.78
Monmouth,L05_2503,5,3,23,25,7.99
Monmouth,Gardensoy_32,6,2,23,25,6.43
CFAR,IA_3023,3,3,25,25,3.72
CFAR,Williams_82,4,2,25,25,3.71
CFAR,Gardensoy_32,2,3,24,25,6.49
CFAR,IA_3023,3,2,25,25,3.97
Monmouth,L05_2503,5,1,24,25,8.58
CFAR,L05_2503,1,3,22,25,7.4
CFAR,IA_3023,3,1,25,25,3.86
Monmouth,IA_3023,7,3,24,25,3.71
Monmouth,Gardensoy_32,6,3,23,25,5.89
Monmouth,IA_3023,7,1,25,25,3.83
Monmouth,IA_3023,7,2,25,25,4.03
CFAR,L05_2503,1,2,23,25,7.92
Monmouth,L05_2503,5,2,22,25,7.96
CFAR,Williams_82,4,3,21,25,3.33
CFAR,Williams_82,4,1,25,25,3.96
Monmouth,Gardensoy_32,6,1,23,25,6.03
CFAR,Gardensoy_32,2,2,24,25,6.17
CFAR,L05_2503,1,1,24,25,8.56
